1. 
        city_name         | state_nm | origin_destination |                   unique_carrier_name                   | passengers 
---------------------------+----------+--------------------+---------------------------------------------------------+------------
 Denver, CO                | Colorado | DEN                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         40
 Eagle, CO                 | Colorado | EGE                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         22
 Denver, CO                | Colorado | DEN                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         34
 Denver, CO                | Colorado | DEN                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |       2024
 Denver, CO                | Colorado | DEN                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         41
 Denver, CO                | Colorado | DEN                | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         43
 Denver, CO                | Colorado | DEN                | Alaska Airlines Inc.                                    |       3939
 Denver, CO                | Colorado | DEN                | Alaska Airlines Inc.                                    |       4766
 Colorado Springs, CO      | Colorado | COS                | Alaska Airlines Inc.                                    |        156
 Denver, CO                | Colorado | DEN                | Alaska Airlines Inc.                                    |       4548
 Denver, CO                | Colorado | DEN                | Alaska Airlines Inc.                                    |      12963
 Denver, CO                | Colorado | DEN                | Allegiant Air                                           |       1776
 Colorado Springs, CO      | Colorado | COS                | Allegiant Air                                           |       1257
 Colorado Springs, CO      | Colorado | COS                | Allegiant Air                                           |        156
 Grand Junction, CO        | Colorado | GJT                | Allegiant Air                                           |        921
 Grand Junction, CO        | Colorado | GJT                | Allegiant Air                                           |       1267
 Colorado Springs, CO      | Colorado | COS                | Allegiant Air                                           |       1268
 Grand Junction, CO        | Colorado | GJT                | Allegiant Air                                           |        113
 Denver, CO                | Colorado | DEN                | American Airlines Inc.                                  |        150
 Colorado Springs, CO      | Colorado | COS                | American Airlines Inc.                                  |        150
 Colorado Springs, CO      | Colorado | COS                | American Airlines Inc.                                  |        133
 Colorado Springs, CO      | Colorado | COS                | American Airlines Inc.                                  |        124
 Denver, CO                | Colorado | DEN                | American Airlines Inc.                                  |        168
 Denver, CO                | Colorado | DEN                | American Airlines Inc.                                  |         74
